,Band name,Country of origin,Location,Status,Formed in,Years active,Genre,Lyrical themes,Current/Last label,Discography,Country code,Spotify ID
0,R & R,Sweden,"Kiruna, Norrbotten",Split-up,1980,1980-?,Heavy Metal,,Unsigned/independent,['Adventures Behind the Eye'],SE,
1,R-Akzioa,Spain,"Bilbao, Basque Country",Split-up,,"?-? (as Soul Fear), ?-?",Power Metal,,DDT Banaketak,['Hirekin batera'],ES,
2,R-Genium,Russia,"Volgograd, Volgograd Oblast",On hold,2007,2007-present,Symphonic Power Metal,,Metalism Records,"['Куда приводят мечты', 'I Know Your Lie', 'Wonderful Wonderful World', 'Люблю тебя']",,
3,R:I:P,Germany,"Rhein-Neckar, Baden-Württemberg",Split-up,2005,2005-?,"Thrash, Groove Metal",Politics,Twilight,"['Promo', '...Out to R:I:P All Nations!!!']",DE,
4,R. Nikolaenko,Russia,"Podolsk, Moscow Oblast",Active,2011,"?-2011 (as Akarma), 2011-2015, 2017-present","Experimental, Depressive Black Metal","Love, Depression, Melancholy, Fantasy",Unsigned/independent,"['Wake Up, Birds Are Singing...', 'Endless Cawing', 'Legacy', 'There Is Nothing, Yet...', 'My Desire / Vedmic', 'When I Die...', 'Pandemonium', 'Angelic', 'Дворовая опера', 'Nightmarish', 'Love Is You', 'SingleBox', 'De Leon', 'Polaric', 'Sinner Versus Satan', 'A Man Can Change His Stars', 'Grace Strikes Back', 'Старый рыбак']",,
5,R.A.F.D.,Finland,,Split-up,,,Heavy Metal,,Unsigned/independent,['Return of Partis'],FI,
6,R.A.I.C.E.S.,Mexico,Mexico City,Unknown,1997,1997-?,Death Metal,"Pre-Hispanic Mexico, Mexican history, Social criticism",Unsigned/independent,"['R.A.I.C.E.S.', 'El ritual: Así en vivo', 'Tzompantli']",MX,
7,R.A.I.D.,Ukraine,"Kremenchuk, Poltava Oblast",Split-up,,,Death Metal,,Moon Records,"['Remains Aggression in Darkness', 'Tribe of Beast']",UA,
8,R.A.I.D.,Japan,Tokyo,Split-up,1999,"1999-2000, 2009-2010","Speed, Thrash Metal",,Anarchist Records,['Damage'],JP,
9,R.A.I.V.A.,Portugal,,Active,,2018-present,"Groove Metal, Hard Rock","Anger, Politics",Ethereal Sound Works,['Raiva'],PT,7mq6t2VcMV6L6QnCgzRt3Z
10,R.A.V.A.G.E.,United States,"Sarasota, Florida",Changed name,1984,"1984-1985 (as Oblivion), 1985-1987, 1987-1994 (as Atheist), 2006-present (as Atheist)","Death, Thrash Metal",,Godly Records,"['Rotting in Hell', 'On We Slay', 'Raging Death']",US,
